game	inning	pitcher	hitter	hit	type	x	y
3	Bottom	Yordano Ventura	Brad Miller	O	Flyout	46.18	133.53
3	Bottom	Yordano Ventura	Robinson Cano	O	Groundout	145.58	167.67
4	Top	Chris Young	Eric Hosmer	O	Pop Out	75.3	169.68
4	Top	Chris Young	Billy Butler	H	Single	73.29	125.5
4	Top	Chris Young	Salvador Perez	O	Pop Out	139.56	181.73
4	Top	Chris Young	Alex Gordon	O	Lineout	113.45	83.33
4	Bottom	Yordano Ventura	Corey Hart	H	Single	169.68	127.51
4	Bottom	Yordano Ventura	Justin Smoak	H	Home Run	208.84	47.19
4	Bottom	Yordano Ventura	John Buck	O	Groundout	111.45	174.7
4	Bottom	Yordano Ventura	Stefen Romero	O	Groundout	139.56	162.65
5	Top	Chris Young	Johnny Giavotella	O	Groundout	109.44	182.73
5	Top	Chris Young	Lorenzo Cain	O	Flyout	119.48	70.28
5	Top	Chris Young	Mike Moustakas	O	Pop Out	116.47	168.67
5	Bottom	Yordano Ventura	Willie Bloomquist	O	Flyout	187.75	123.49
5	Bottom	Yordano Ventura	James Jones	H	Single	148.59	100.4
6	Top	Chris Young	Alcides Escobar	O	Lineout	84.34	110.44
6	Top	Chris Young	Nori Aoki	O	Lineout	53.21	114.46
6	Top	Chris Young	Eric Hosmer	O	Groundout	115.46	168.67
6	Bottom	Yordano Ventura	Justin Smoak	O	Flyout	65.26	67.27
6	Bottom	Yordano Ventura	John Buck	O	Groundout	112.45	159.64
6	Bottom	Yordano Ventura	Dustin Ackley	H	Home Run	202.81	41.16
6	Bottom	Yordano Ventura	Stefen Romero	O	Lineout	164.66	105.42
7	Top	Chris Young	Billy Butler	O	Lineout	163.65	89.36
7	Top	Chris Young	Salvador Perez	H	Single	83.33	115.46
7	Top	Chris Young	Alex Gordon	O	Flyout	148.59	85.34
7	Top	Chris Young	Johnny Giavotella	O	Flyout	74.3	120.48
7	Bottom	Yordano Ventura	Willie Bloomquist	O	Groundout	142.57	170.68
7	Bottom	Tim Collins	Brad Miller	O	Flyout	104.42	70.28
7	Bottom	Tim Collins	Robinson Cano	H	Single	68.27	118.47
8	Top	Chris Young	Lorenzo Cain	O	Pop Out	104.42	131.53
8	Top	Chris Young	Mike Moustakas	O	Flyout	65.26	115.46
8	Top	Chris Young	Alcides Escobar	O	Lineout	61.24	97.39
8	Bottom	Kelvin Herrera	Corey Hart	O	Groundout	103.41	160.64
9	Top	Fernando Rodney	Nori Aoki	O	Groundout	116.47	165.66
9	Top	Fernando Rodney	Eric Hosmer	O	Groundout	136.55	156.63
9	Top	Fernando Rodney	Billy Butler	H	Single	79.32	147.59
9	Top	Fernando Rodney	Salvador Perez	O	Groundout	119.48	155.62
1	Top	J.A. Happ	Erick Aybar	O	Flyout	167.67	88.35
1	Top	J.A. Happ	Albert Pujols	O	Flyout	110.44	41.16
1	Bottom	Tyler Skaggs	Jose Reyes	O	Groundout	135.54	164.66
1	Bottom	Tyler Skaggs	Melky Cabrera	O	Groundout	99.4	166.67
1	Bottom	Tyler Skaggs	Jose Bautista	E	Field Error	133.53	173.69
1	Bottom	Tyler Skaggs	Edwin Encarnacion	H	Double	47.19	113.45
1	Bottom	Tyler Skaggs	Dioner Navarro	O	Flyout	133.53	77.31
2	Top	J.A. Happ	Howie Kendrick	H	Double	197.79	120.48
2	Top	J.A. Happ	C.J. Cron	H	Single	114.46	89.36
2	Top	J.A. Happ	Chris Iannetta	H	Home Run	37.15	71.29
2	Top	J.A. Happ	Collin Cowgill	H	Single	117.47	88.35
2	Top	J.A. Happ	Erick Aybar	H	Single	170.68	118.47
2	Top	J.A. Happ	Albert Pujols	O	Flyout	60.24	66.27
2	Bottom	Tyler Skaggs	Erik Kratz	O	Groundout	138.55	143.57
2	Bottom	Tyler Skaggs	Steve Tolleson	O	Flyout	148.59	119.48
3	Top	J.A. Happ	C.J. Cron	H	Home Run	72.29	31.12
3	Top	J.A. Happ	Chris Iannetta	H	Single	75.3	108.43
3	Top	Todd Redmond	Grant Green	O	Lineout	105.42	152.61
3	Top	Todd Redmond	Collin Cowgill	O	Flyout	112.45	66.27
3	Bottom	Tyler Skaggs	Chris Getz	O	Groundout	152.61	167.67
3	Bottom	Tyler Skaggs	Jose Reyes	O	Pop Out	145.58	171.69
3	Bottom	Tyler Skaggs	Melky Cabrera	O	Pop Out	164.66	170.68
4	Top	Todd Redmond	John McDonald	H	Single	88.35	116.47
4	Top	Todd Redmond	Erick Aybar	O	Flyout	116.47	94.38
4	Top	Todd Redmond	Mike Trout	O	Groundout	102.41	153.61
4	Bottom	Tyler Skaggs	Jose Bautista	O	Pop Out	164.66	138.55
4	Bottom	Tyler Skaggs	Edwin Encarnacion	O	Flyout	82.33	104.42
4	Bottom	Tyler Skaggs	Dioner Navarro	O	Groundout	127.51	155.62
5	Top	Todd Redmond	Albert Pujols	H	Double	194.78	86.35
5	Top	Todd Redmond	Howie Kendrick	O	Groundout	152.61	164.66
5	Top	Todd Redmond	Chris Iannetta	O	Flyout	151.61	98.39
5	Bottom	Tyler Skaggs	Erik Kratz	O	Groundout	98.39	167.67
6	Top	Todd Redmond	Grant Green	H	Single	166.67	119.48
6	Top	Todd Redmond	Collin Cowgill	H	Single	115.46	113.45
6	Top	Todd Redmond	John McDonald	O	Groundout	132.53	181.73
6	Top	Todd Redmond	Erick Aybar	H	Single	116.47	167.67
6	Top	Todd Redmond	Erick Aybar	E	Error	116.47	167.67
6	Top	Todd Redmond	Mike Trout	O	Flyout	86.35	89.36
6	Bottom	Tyler Skaggs	Chris Getz	O	Groundout	145.58	152.61
6	Bottom	Tyler Skaggs	Jose Reyes	O	Pop Out	167.67	173.69
6	Bottom	Tyler Skaggs	Melky Cabrera	O	Lineout	168.67	98.39
7	Top	Todd Redmond	Albert Pujols	O	Flyout	177.71	113.45
7	Top	Todd Redmond	Howie Kendrick	O	Groundout	99.4	162.65
7	Top	Todd Redmond	C.J. Cron	O	Flyout	161.65	115.46
7	Bottom	Tyler Skaggs	Jose Bautista	O	Pop Out	129.52	214.86
7	Bottom	Tyler Skaggs	Edwin Encarnacion	O	Flyout	156.63	103.41
7	Bottom	Tyler Skaggs	Dioner Navarro	O	Groundout	101.41	164.66
8	Top	Esmil Rogers	Chris Iannetta	O	Flyout	95.38	123.49
8	Top	Esmil Rogers	Grant Green	O	Flyout	185.74	130.52
8	Top	Esmil Rogers	Collin Cowgill	O	Groundout	110.44	161.65
8	Bottom	Tyler Skaggs	Erik Kratz	O	Groundout	102.41	166.67
8	Bottom	Tyler Skaggs	Steve Tolleson	H	Double	50.2	90.36
8	Bottom	Tyler Skaggs	Chris Getz	O	Groundout	100.4	153.61
9	Top	Esmil Rogers	Erick Aybar	O	Pop Out	98.39	154.62
9	Top	Esmil Rogers	Mike Trout	O	Groundout	98.39	163.65
9	Bottom	Tyler Skaggs	Jose Reyes	H	Single	107.43	143.57
9	Bottom	Tyler Skaggs	Melky Cabrera	H	Single	111.45	104.42
9	Bottom	Joe Smith	Jose Bautista	H	Single	108.43	105.42
9	Bottom	Joe Smith	Edwin Encarnacion	O	Groundout	98.39	164.66
9	Bottom	Joe Smith	Dioner Navarro	H	Single	168.67	119.48
9	Bottom	Joe Smith	Adam Lind	O	Groundout	127.51	176.71
1	Top	Max Scherzer	Kurt Suzuki	O	Flyout	39.16	82.33
1	Top	Max Scherzer	Joe Mauer	O	Groundout	144.58	162.65
1	Bottom	Kyle Gibson	Ian Kinsler	H	Single	127.51	67.27
1	Bottom	Kyle Gibson	Victor Martinez	O	Groundout	146.59	164.66
2	Top	Max Scherzer	Chris Parmelee	H	Single	182.73	92.37
2	Bottom	Kyle Gibson	Austin Jackson	H	Single	114.46	66.27
2	Bottom	Kyle Gibson	Don Kelly	H	Double	193.78	134.54
2	Bottom	Kyle Gibson	Nick Castellanos	O	Groundout	91.37	167.67
2	Bottom	Kyle Gibson	Alex Avila	H	Single	128.51	70.28
2	Bottom	Kyle Gibson	Alex Avila	E	Error	128.51	70.28
2	Bottom	Kyle Gibson	Andrew Romine	H	Single	180.72	102.41
2	Bottom	Kyle Gibson	Ian Kinsler	O	Flyout	151.61	71.29
2	Bottom	Kyle Gibson	Torii Hunter	O	Groundout	105.42	157.63
2	Bottom	Kyle Gibson	Torii Hunter	E	Error	105.42	157.63
2	Bottom	Kyle Gibson	Miguel Cabrera	H	Home Run	200.8	55.22
2	Bottom	Kyle Gibson	Victor Martinez	H	Double	74.3	73.29
2	Bottom	Kyle Gibson	Austin Jackson	O	Flyout	130.52	41.16
3	Top	Max Scherzer	Eduardo Escobar	O	Pop Out	67.27	154.62
3	Top	Max Scherzer	Danny Santana	H	Double	151.61	70.28
3	Top	Max Scherzer	Brian Dozier	H	Home Run	34.14	72.29
3	Top	Max Scherzer	Joe Mauer	O	Flyout	88.35	92.37
3	Bottom	Anthony Swarzak	Don Kelly	O	Lineout	197.79	75.3
3	Bottom	Anthony Swarzak	Alex Avila	O	Groundout	146.59	138.55
4	Top	Max Scherzer	Chris Parmelee	O	Flyout	176.71	68.27
4	Top	Max Scherzer	Eduardo Escobar	E	Field Error	101.41	164.66
4	Top	Max Scherzer	Aaron Hicks	O	Lineout	149.6	150.6
4	Top	Max Scherzer	Danny Santana	O	Groundout	154.62	164.66
4	Bottom	Anthony Swarzak	Ian Kinsler	O	Groundout	104.42	170.68
4	Bottom	Anthony Swarzak	Torii Hunter	O	Flyout	90.36	86.35
5	Top	Max Scherzer	Brian Dozier	O	Flyout	75.3	89.36
5	Top	Max Scherzer	Kurt Suzuki	H	Single	142.57	77.31
5	Top	Max Scherzer	Chris Colabello	O	Flyout	177.71	85.34
5	Top	Max Scherzer	Chris Parmelee	O	Flyout	85.34	90.36
5	Bottom	Anthony Swarzak	Miguel Cabrera	O	Groundout	141.57	140.56
5	Bottom	Anthony Swarzak	Victor Martinez	O	Pop Out	143.57	149.6
5	Bottom	Anthony Swarzak	Austin Jackson	O	Groundout	107.43	148.59
6	Top	Max Scherzer	Eduardo Nunez	O	Groundout	92.37	167.67
6	Top	Max Scherzer	Eduardo Escobar	H	Double	76.31	52.21
6	Bottom	Anthony Swarzak	Don Kelly	H	Single	106.43	104.42
6	Bottom	Anthony Swarzak	Alex Avila	O	Flyout	63.25	95.38
6	Bottom	Anthony Swarzak	Andrew Romine	O	Flyout	140.56	85.34
7	Top	Al Alburquerque	Kurt Suzuki	O	Flyout	76.31	91.37
7	Top	Al Alburquerque	Joe Mauer	H	Single	172.69	77.31
7	Bottom	Michael Tonkin	Ian Kinsler	O	Groundout	110.44	152.61
7	Bottom	Michael Tonkin	Torii Hunter	H	Single	120.48	73.29
7	Bottom	Michael Tonkin	Victor Martinez	H	Home Run	204.82	65.26
7	Bottom	Michael Tonkin	Austin Jackson	O	Pop Out	113.45	105.42
7	Bottom	Michael Tonkin	Don Kelly	O	Lineout	91.37	69.28
8	Top	Joba Chamberlain	Eduardo Nunez	O	Flyout	42.17	84.34
8	Top	Joba Chamberlain	Eduardo Escobar	H	Double	212.85	99.4
8	Bottom	Jared Burton	Nick Castellanos	H	Double	93.37	59.24
8	Bottom	Jared Burton	Alex Avila	O	Flyout	95.38	61.24
8	Bottom	Jared Burton	Andrew Romine	O	Groundout	133.53	182.73
8	Bottom	Jared Burton	Ian Kinsler	O	Flyout	120.48	63.25
9	Top	Phil Coke	Danny Santana	H	Single	78.31	86.35
9	Top	Phil Coke	Brian Dozier	O	Groundout	145.58	167.67
9	Top	Phil Coke	Kurt Suzuki	O	Flyout	161.65	75.3
1	Top	Zack Greinke	Angel Pagan	O	Groundout	151.61	163.65
1	Top	Zack Greinke	Hunter Pence	H	Double	174.7	142.57
1	Top	Zack Greinke	Buster Posey	H	Single	154.62	104.42
1	Bottom	Matt Cain	Dee Gordon	H	Single	159.64	98.39
1	Bottom	Matt Cain	Matt Kemp	O	Lineout	161.65	94.38
2	Top	Zack Greinke	Brandon Crawford	H	Single	103.41	97.39
2	Top	Zack Greinke	Matt Cain	O	Bunt Groundout	113.45	181.73
2	Top	Zack Greinke	Angel Pagan	O	Flyout	166.67	96.39
2	Top	Zack Greinke	Hunter Pence	O	Flyout	112.45	90.36
2	Top	Zack Greinke	Buster Posey	H	Single	159.64	99.4
2	Bottom	Matt Cain	Carl Crawford	O	Flyout	91.37	96.39
2	Bottom	Matt Cain	Drew Butera	O	Flyout	166.67	96.39
3	Top	Zack Greinke	Pablo Sandoval	E	Field Error	107.43	166.67
3	Top	Zack Greinke	Brandon Crawford	O	Flyout	93.37	92.37
3	Top	Zack Greinke	Brandon Hicks	O	Groundout	111.45	167.67
3	Bottom	Matt Cain	Dee Gordon	O	Groundout	130.52	181.73
3	Bottom	Matt Cain	Yasiel Puig	O	Groundout	109.44	160.64
4	Top	Zack Greinke	Angel Pagan	O	Flyout	91.37	104.42
4	Top	Zack Greinke	Hunter Pence	O	Groundout	109.44	158.63
4	Bottom	Matt Cain	Adrian Gonzalez	H	Single	140.56	132.53
4	Bottom	Matt Cain	Matt Kemp	O	Groundout	108.43	158.63
4	Bottom	Matt Cain	Carl Crawford	O	Lineout	111.45	89.36
5	Top	Zack Greinke	Michael Morse	H	Single	89.36	104.42
5	Top	Zack Greinke	Pablo Sandoval	O	Groundout	122.49	176.71
5	Bottom	Matt Cain	Chone Figgins	O	Lineout	117.47	149.6
5	Bottom	Matt Cain	Zack Greinke	O	Pop Out	173.69	143.57
6	Top	Zack Greinke	Brandon Crawford	O	Flyout	82.33	107.43
6	Bottom	Matt Cain	Yasiel Puig	H	Single	95.38	118.47
6	Bottom	Jeremy Affeldt	Adrian Gonzalez	O	Groundout	146.59	155.62
6	Bottom	Jeremy Affeldt	Matt Kemp	H	Single	81.33	104.42
6	Bottom	Jeremy Affeldt	Carl Crawford	O	Groundout	108.43	158.63
7	Top	Zack Greinke	Angel Pagan	O	Lineout	138.55	90.36
7	Top	Zack Greinke	Hunter Pence	O	Groundout	126.51	178.71
7	Top	Zack Greinke	Buster Posey	H	Single	117.47	89.36
7	Top	Zack Greinke	Hector Sanchez	O	Groundout	101.41	165.66
7	Bottom	Jeremy Affeldt	Drew Butera	H	Double	169.68	66.27
7	Bottom	Jeremy Affeldt	Justin Turner	O	Groundout	141.57	153.61
7	Bottom	Jeremy Affeldt	Dee Gordon	H	Double	59.24	125.5
7	Bottom	Jean Machi	Yasiel Puig	H	Double	31.12	98.39
7	Bottom	Jean Machi	Adrian Gonzalez	O	Lineout	115.46	56.22
8	Top	Brian Wilson	Pablo Sandoval	H	Single	110.44	85.34
8	Top	Brian Wilson	Brandon Hicks	H	Single	79.32	110.44
8	Top	Brian Wilson	Hunter Pence	O	Pop Out	118.47	214.86
8	Bottom	Juan Gutierrez	Matt Kemp	H	Home Run	197.79	51.2
8	Bottom	Juan Gutierrez	Carl Crawford	H	Single	75.3	109.44
8	Bottom	Juan Gutierrez	Andre Ethier	O	Groundout	146.59	163.65
8	Bottom	Juan Gutierrez	Drew Butera	O	Flyout	137.55	82.33
8	Bottom	Juan Gutierrez	Justin Turner	O	Pop Out	110.44	167.67
9	Top	Chris Perez	Buster Posey	O	Flyout	188.76	149.6
9	Top	Chris Perez	Hector Sanchez	O	Groundout	150.6	166.67
1	Top	Miguel Gonzalez	Jose Altuve	O	Flyout	159.64	67.27
1	Top	Miguel Gonzalez	Dexter Fowler	O	Groundout	110.44	179.72
1	Bottom	Collin McHugh	Nick Markakis	H	Single	151.61	84.34
1	Bottom	Collin McHugh	Manny Machado	O	Groundout	107.43	169.68
1	Bottom	Collin McHugh	Nelson Cruz	H	Single	170.68	119.48
2	Top	Miguel Gonzalez	Matt Dominguez	O	Groundout	97.39	170.68
2	Top	Miguel Gonzalez	Alex Presley	O	Pop Out	148.59	141.57
2	Top	Miguel Gonzalez	George Springer	H	Home Run	51.2	54.22
2	Top	Miguel Gonzalez	Chris Carter	O	Pop Out	128.51	149.6
2	Bottom	Collin McHugh	Matt Wieters	O	Groundout	137.55	154.62
2	Bottom	Collin McHugh	J.J. Hardy	O	Pop Out	99.4	130.52
2	Bottom	Collin McHugh	Steve Clevenger	H	Single	73.29	111.45
2	Bottom	Collin McHugh	Jonathan Schoop	O	Groundout	105.42	157.63
3	Top	Miguel Gonzalez	Marc Krauss	O	Pop Out	93.37	204.82
3	Top	Miguel Gonzalez	Jonathan Villar	H	Single	85.34	83.33
3	Top	Miguel Gonzalez	Jonathan Villar	E	Error	85.34	83.33
3	Top	Miguel Gonzalez	Dexter Fowler	H	Single	83.33	122.49
3	Top	Miguel Gonzalez	Matt Dominguez	O	Pop Out	145.58	142.57
3	Bottom	Collin McHugh	Nick Markakis	O	Flyout	152.61	49.2
3	Bottom	Collin McHugh	Manny Machado	O	Groundout	138.55	155.62
4	Top	Miguel Gonzalez	Alex Presley	O	Pop Out	113.45	141.57
4	Top	Miguel Gonzalez	Chris Carter	O	Flyout	141.57	107.43
4	Bottom	Collin McHugh	Adam Jones	O	Flyout	192.77	83.33
4	Bottom	Collin McHugh	J.J. Hardy	O	Flyout	192.77	87.35
5	Top	Miguel Gonzalez	Jonathan Villar	O	Bunt Groundout	124.5	186.75
5	Top	Miguel Gonzalez	Jose Altuve	H	Single	77.31	126.51
5	Top	Miguel Gonzalez	Jason Castro	O	Groundout	154.62	143.57
5	Bottom	Collin McHugh	Steve Clevenger	O	Groundout	141.57	155.62
5	Bottom	Collin McHugh	Jonathan Schoop	O	Groundout	101.41	175.7
5	Bottom	Collin McHugh	Nick Markakis	O	Groundout	140.56	150.6
6	Top	Miguel Gonzalez	Matt Dominguez	H	Single	120.48	87.35
6	Top	Miguel Gonzalez	George Springer	H	Double	31.12	112.45
6	Top	Miguel Gonzalez	Chris Carter	O	Pop Out	157.63	155.62
6	Top	Miguel Gonzalez	Marc Krauss	O	Groundout	147.59	173.69
6	Bottom	Collin McHugh	Manny Machado	O	Pop Out	151.61	139.56
6	Bottom	Collin McHugh	Adam Jones	H	Home Run	153.61	26.1
6	Bottom	Collin McHugh	Matt Wieters	O	Groundout	140.56	155.62
7	Top	Miguel Gonzalez	Jose Altuve	O	Groundout	144.58	151.61
7	Top	Miguel Gonzalez	Dexter Fowler	O	Groundout	112.45	162.65
7	Bottom	Collin McHugh	J.J. Hardy	H	Single	81.33	108.43
7	Bottom	Collin McHugh	Steve Clevenger	H	Single	127.51	187.75
7	Bottom	Collin McHugh	Steve Pearce	H	Single	132.53	101.41
7	Bottom	Collin McHugh	Jonathan Schoop	O	Groundout	102.41	172.69
7	Bottom	Tony Sipp	Nick Markakis	O	Groundout	149.6	168.67
8	Top	Zach Britton	Jason Castro	H	Single	74.3	119.48
8	Top	Zach Britton	Matt Dominguez	O	Groundout	108.43	159.64
8	Top	Zach Britton	L.J. Hoes	O	Groundout	139.56	147.59
8	Bottom	Josh Zeid	Nelson Cruz	H	Home Run	96.39	22.09
8	Bottom	Josh Zeid	Adam Jones	O	Flyout	39.16	74.3
8	Bottom	Josh Zeid	Matt Wieters	O	Flyout	121.49	66.27
8	Bottom	Josh Zeid	J.J. Hardy	O	Flyout	116.47	86.35
9	Top	Tommy Hunter	Chris Carter	H	Single	79.32	120.48
9	Top	Tommy Hunter	Marc Krauss	H	Double	211.85	92.37
9	Top	Tommy Hunter	Jonathan Villar	O	Groundout	134.54	168.67
9	Top	Tommy Hunter	Jose Altuve	H	Single	145.58	99.4
9	Top	Troy Patton	Jason Castro	O	Flyout	57.23	130.52
9	Bottom	Anthony Bass	Steve Clevenger	O	Groundout	115.46	171.69
9	Bottom	Anthony Bass	Steve Pearce	O	Flyout	71.29	116.47
9	Bottom	Anthony Bass	Jonathan Schoop	H	Single	118.47	171.69
9	Bottom	Anthony Bass	Nick Markakis	H	Single	83.33	90.36
9	Bottom	Anthony Bass	Delmon Young	H	Single	126.51	141.57
9	Bottom	Anthony Bass	Adam Jones	O	Pop Out	144.58	152.61
10	Top	Ryan Webb	Matt Dominguez	H	Single	183.73	113.45
10	Top	Ryan Webb	L.J. Hoes	O	Bunt Groundout	129.52	195.78
10	Bottom	Paul Clemens	Matt Wieters	O	Groundout	127.51	180.72
10	Bottom	Paul Clemens	J.J. Hardy	H	Single	100.4	154.62
10	Bottom	Paul Clemens	Steve Clevenger	H	Double	216.87	105.42
1	Top	Edinson Volquez	Matt Holliday	O	Flyout	178.71	82.33
1	Bottom	Lance Lynn	Jose Tabata	O	Groundout	108.43	161.65
1	Bottom	Lance Lynn	Josh Harrison	O	Groundout	94.38	165.66
1	Bottom	Lance Lynn	Neil Walker	O	Groundout	125.5	176.71
2	Top	Edinson Volquez	Allen Craig	H	Single	78.31	105.42
2	Top	Edinson Volquez	Mark Ellis	H	Single	122.49	94.38
2	Top	Edinson Volquez	Tony Cruz	O	Groundout	98.39	161.65
2	Top	Edinson Volquez	Matt Carpenter	O	Flyout	110.44	70.28
2	Bottom	Lance Lynn	Starling Marte	O	Groundout	103.41	148.59
2	Bottom	Lance Lynn	Ike Davis	H	Double	210.84	90.36
2	Bottom	Lance Lynn	Tony Sanchez	H	Single	108.43	169.68
2	Bottom	Lance Lynn	Edinson Volquez	O	Groundout	144.58	152.61
3	Top	Edinson Volquez	Matt Holliday	O	Groundout	101.41	152.61
3	Top	Edinson Volquez	Matt Adams	O	Pop Out	75.3	176.71
3	Bottom	Lance Lynn	Jose Tabata	H	Single	92.37	92.37
3	Bottom	Lance Lynn	Josh Harrison	H	Single	78.31	107.43
3	Bottom	Lance Lynn	Neil Walker	O	Groundout	146.59	149.6
3	Bottom	Lance Lynn	Pedro Alvarez	O	Pop Out	93.37	184.74
3	Bottom	Lance Lynn	Starling Marte	O	Groundout	111.45	177.71
4	Top	Edinson Volquez	Mark Ellis	O	Groundout	102.41	152.61
4	Top	Edinson Volquez	Tony Cruz	O	Groundout	129.52	179.72
4	Bottom	Lance Lynn	Ike Davis	H	Single	80.32	113.45
4	Bottom	Lance Lynn	Jordy Mercer	H	Single	82.33	120.48
4	Bottom	Lance Lynn	Edinson Volquez	O	Groundout	106.43	153.61
4	Bottom	Lance Lynn	Jose Tabata	O	Groundout	132.53	141.57
4	Bottom	Lance Lynn	Josh Harrison	H	Single	125.5	175.7
4	Bottom	Lance Lynn	Neil Walker	H	Single	118.47	92.37
4	Bottom	Lance Lynn	Pedro Alvarez	H	Single	131.53	86.35
5	Top	Edinson Volquez	Lance Lynn	O	Groundout	117.47	146.59
5	Top	Edinson Volquez	Matt Carpenter	O	Groundout	102.41	162.65
5	Top	Edinson Volquez	Jhonny Peralta	H	Single	136.55	86.35
5	Top	Edinson Volquez	Matt Holliday	H	Single	116.47	102.41
5	Top	Jared Hughes	Matt Adams	O	Groundout	144.58	149.6
5	Bottom	Lance Lynn	Jared Hughes	O	Groundout	136.55	175.7
6	Top	Jared Hughes	Mark Ellis	O	Groundout	101.41	165.66
6	Top	Jared Hughes	Peter Bourjos	O	Groundout	103.41	163.65
6	Top	Jared Hughes	Tony Cruz	O	Groundout	125.5	177.71
6	Bottom	Lance Lynn	Jose Tabata	O	Lineout	188.76	113.45
6	Bottom	Lance Lynn	Josh Harrison	O	Flyout	179.72	88.35
7	Top	Justin Wilson	Matt Carpenter	H	Single	86.35	103.41
7	Top	Bryan Morris	Allen Craig	O	Groundout	131.53	180.72
7	Bottom	Kevin Siegrist	Pedro Alvarez	O	Pop Out	75.3	136.55
7	Bottom	Kevin Siegrist	Gaby Sanchez	H	Single	124.5	84.34
8	Top	Tony Watson	Matt Adams	H	Double	49.2	61.24
8	Top	Tony Watson	Tony Cruz	O	Groundout	103.41	153.61
8	Bottom	Seth Maness	Jordy Mercer	O	Flyout	149.6	41.16
8	Bottom	Seth Maness	Clint Barmes	H	Single	168.67	111.45
8	Bottom	Seth Maness	Jose Tabata	O	Groundout	124.5	178.71
9	Top	Mark Melancon	Daniel Descalso	H	Single	181.73	109.44
9	Top	Mark Melancon	Matt Carpenter	O	Groundout	149.6	153.61
1	Top	Jose Quintana	A.J. Pollock	O	Flyout	117.47	74.3
1	Top	Jose Quintana	Martin Prado	H	Single	87.35	113.45
1	Bottom	Wade Miley	Gordon Beckham	O	Groundout	106.43	157.63
1	Bottom	Wade Miley	Marcus Semien	O	Flyout	164.66	116.47
2	Top	Jose Quintana	Aaron Hill	O	Flyout	125.5	87.35
2	Top	Jose Quintana	Cody Ross	H	Single	78.31	103.41
2	Top	Jose Quintana	Gerardo Parra	O	Groundout	146.59	160.64
2	Top	Jose Quintana	Alfredo Marte	O	Groundout	141.57	157.63
2	Bottom	Wade Miley	Alexei Ramirez	O	Flyout	182.73	92.37
2	Bottom	Wade Miley	Paul Konerko	O	Flyout	128.51	54.22
3	Top	Jose Quintana	Chris Owings	O	Groundout	116.47	177.71
3	Top	Jose Quintana	A.J. Pollock	O	Lineout	109.44	158.63
3	Top	Jose Quintana	Martin Prado	O	Lineout	122.49	85.34
3	Bottom	Wade Miley	Tyler Flowers	O	Flyout	176.71	88.35
3	Bottom	Wade Miley	Alejandro De Aza	O	Groundout	140.56	156.63
4	Top	Jose Quintana	Paul Goldschmidt	O	Groundout	103.41	162.65
4	Top	Jose Quintana	Miguel Montero	O	Flyout	129.52	89.36
4	Bottom	Wade Miley	Gordon Beckham	H	Single	83.33	111.45
4	Bottom	Wade Miley	Marcus Semien	O	Groundout	111.45	156.63
5	Top	Jose Quintana	Cody Ross	H	Single	120.48	96.39
5	Top	Jose Quintana	Gerardo Parra	O	Groundout	108.43	181.73
5	Top	Jose Quintana	Alfredo Marte	H	Double	58.23	117.47
5	Top	Jose Quintana	Chris Owings	H	Double	90.36	90.36
5	Top	Jose Quintana	A.J. Pollock	H	Single	134.54	103.41
5	Top	Jose Quintana	Martin Prado	O	Flyout	132.53	84.34
5	Bottom	Wade Miley	Dayan Viciedo	H	Single	89.36	111.45
5	Bottom	Wade Miley	Alexei Ramirez	O	Pop Out	161.65	181.73
5	Bottom	Wade Miley	Paul Konerko	H	Home Run	29.12	55.22
5	Bottom	Wade Miley	Moises Sierra	O	Groundout	106.43	164.66
6	Top	Jose Quintana	Aaron Hill	O	Flyout	119.48	92.37
6	Top	Jose Quintana	Cody Ross	H	Single	82.33	108.43
6	Top	Jose Quintana	Gerardo Parra	O	Pop Out	134.54	148.59
6	Bottom	Wade Miley	Alejandro De Aza	O	Bunt Pop Out	130.52	175.7
6	Bottom	Wade Miley	Gordon Beckham	O	Lineout	119.48	53.21
6	Bottom	Wade Miley	Marcus Semien	H	Single	70.28	117.47
6	Bottom	Wade Miley	Jose Abreu	O	Groundout	111.45	157.63
7	Top	Zach Putnam	Chris Owings	H	Double	99.4	37.15
7	Top	Zach Putnam	Martin Prado	H	Single	151.61	120.48
7	Top	Zach Putnam	Miguel Montero	H	Single	161.65	92.37
7	Top	Zach Putnam	Aaron Hill	O	Groundout	106.43	158.63
7	Bottom	Wade Miley	Dayan Viciedo	O	Lineout	107.43	154.62
7	Bottom	Wade Miley	Paul Konerko	O	Pop Out	85.34	144.58
8	Top	Daniel Webb	Cody Ross	O	Flyout	125.5	83.33
8	Top	Daniel Webb	Gerardo Parra	H	Single	122.49	96.39
8	Top	Daniel Webb	Eric Chavez	O	Groundout	146.59	162.65
8	Bottom	Brad Ziegler	Tyler Flowers	H	Double	195.78	122.49
8	Bottom	Brad Ziegler	Tyler Flowers	E	Fan interference	195.78	122.49
8	Bottom	Brad Ziegler	Alejandro De Aza	O	Groundout	103.41	158.63
8	Bottom	Brad Ziegler	Gordon Beckham	O	Groundout	105.42	159.64
9	Top	Daniel Webb	Chris Owings	O	Flyout	127.51	68.27
9	Top	Daniel Webb	A.J. Pollock	H	Triple	198.8	80.32
9	Top	Daniel Webb	Martin Prado	O	Groundout	128.51	180.72
9	Top	Daniel Webb	Paul Goldschmidt	O	Groundout	104.42	157.63
